DC:monocyte-derived:immature	CL:0000840
DC:monocyte-derived:Galectin-1	CL:0000451
DC:monocyte-derived:LPS	CL:0000451
DC:monocyte-derived	CL:0000451
Smooth_muscle_cells:bronchial:vit_D	CL:0002598
Smooth_muscle_cells:bronchial	CL:0002598
Epithelial_cells:bronchial	CL:0002328
B_cell	CL:0000236
Neutrophil	CL:0000775
T_cell:CD8+_Central_memory	CL:0000907
T_cell:CD8+	CL:0000625
T_cell:CD4+	CL:0000624
T_cell:CD8+_effector_memory_RA	CL:0001062
T_cell:CD8+_effector_memory	CL:0000913
T_cell:CD8+_naive	CL:0000900
Monocyte	CL:0000576
Erythroblast	CL:0000765
BM	
DC:monocyte-derived:rosiglitazone	CL:0000451
DC:monocyte-derived:AM580	CL:0000451
DC:monocyte-derived:rosiglitazone/AGN193109	CL:0000451
DC:monocyte-derived:anti-DC-SIGN_2h	CL:0000451
Endothelial_cells:HUVEC	CL:0002618
Endothelial_cells:HUVEC:Borrelia_burgdorferi	CL:0002618
Endothelial_cells:HUVEC:IFNg	CL:0002618
Endothelial_cells:lymphatic	CL:0002138
Endothelial_cells:HUVEC:Serum_Amyloid_A	CL:0002618
Endothelial_cells:lymphatic:TNFa_48h	CL:0002138
T_cell:effector	CL:0000911
T_cell:CCR10+CLA+1,25(OH)2_vit_D3/IL-12	CL:0000084
T_cell:CCR10-CLA+1,25(OH)2_vit_D3/IL-12	CL:0000084
Gametocytes:spermatocyte	CL:0000017
DC:monocyte-derived:A._fumigatus_germ_tubes_6h	CL:0000451
Neurons:ES_cell-derived_neural_precursor	CL:0000031
Keratinocytes	CL:0000312
Keratinocytes:IL19	CL:0000312
Keratinocytes:IL20	CL:0000312
Keratinocytes:IL22	CL:0000312
Keratinocytes:IL24	CL:0000312
Keratinocytes:IL26	CL:0000312
Keratinocytes:KGF	CL:0000312
Keratinocytes:IFNg	CL:0000312
Keratinocytes:IL1b	CL:0000312
HSC_-G-CSF	CL:0000037
DC:monocyte-derived:mature	CL:0000841
Monocyte:anti-FcgRIIB	CL:0000576
Macrophage:monocyte-derived:IL-4/cntrl	CL:0000235
Macrophage:monocyte-derived:IL-4/Dex/cntrl	CL:0000235
Macrophage:monocyte-derived:IL-4/Dex/TGFb	CL:0000235
Macrophage:monocyte-derived:IL-4/TGFb	CL:0000235
Monocyte:leukotriene_D4	CL:0000576
NK_cell	CL:0000623
NK_cell:IL2	CL:0000623
Embryonic_stem_cells	CL:0002322
Tissue_stem_cells:iliac_MSC	CL:0000134
Chondrocytes:MSC-derived	CL:0000138
Osteoblasts	CL:0000062
Tissue_stem_cells:BM_MSC	CL:0000134
Osteoblasts:BMP2	CL:0000062
Tissue_stem_cells:BM_MSC:BMP2	CL:0000134
Tissue_stem_cells:BM_MSC:TGFb3	CL:0000134
DC:monocyte-derived:Poly(IC)	CL:0000451
DC:monocyte-derived:CD40L	CL:0000451
DC:monocyte-derived:Schuler_treatment	CL:0000451
DC:monocyte-derived:antiCD40/VAF347	CL:0000451
Tissue_stem_cells:dental_pulp	CL:0002148
T_cell:CD4+_central_memory	CL:0000904
T_cell:CD4+_effector_memory	CL:0000905
T_cell:CD4+_Naive	CL:0000895
Smooth_muscle_cells:vascular	CL:0000359
Smooth_muscle_cells:vascular:IL-17	CL:0000359
Platelets	CL:0000233
Epithelial_cells:bladder	CL:0000066
Macrophage:monocyte-derived	CL:0000235
Macrophage:monocyte-derived:M-CSF	CL:0000235
Macrophage:monocyte-derived:M-CSF/IFNg	CL:0000235
Macrophage:monocyte-derived:M-CSF/Pam3Cys	CL:0000235
Macrophage:monocyte-derived:M-CSF/IFNg/Pam3Cys	CL:0000235
Macrophage:monocyte-derived:IFNa	CL:0000235
Gametocytes:oocyte	CL:0000023
Monocyte:F._tularensis_novicida	CL:0000576
Endothelial_cells:HUVEC:B._anthracis_LT	CL:0002618
B_cell:Germinal_center	CL:0000844
B_cell:Plasma_cell	CL:0000786
B_cell:Naive	CL:0000788
B_cell:Memory	CL:0000787
DC:monocyte-derived:AEC-conditioned	CL:0000451
Tissue_stem_cells:lipoma-derived_MSC	CL:0000134
Tissue_stem_cells:adipose-derived_MSC_AM3	CL:0000134
Endothelial_cells:HUVEC:FPV-infected	CL:0002618
Endothelial_cells:HUVEC:PR8-infected	CL:0002618
Endothelial_cells:HUVEC:H5N1-infected	CL:0002618
Macrophage:monocyte-derived:S._aureus	CL:0000235
Fibroblasts:foreskin	CL:1001608
iPS_cells:skin_fibroblast-derived	
iPS_cells:skin_fibroblast	
T_cell:gamma-delta	CL:0000798
Monocyte:CD14+	CL:0001054
Macrophage:Alveolar	CL:0000583
Macrophage:Alveolar:B._anthacis_spores	CL:0000583
Neutrophil:inflam	CL:0000775
iPS_cells:PDB_fibroblasts	
iPS_cells:PDB_1lox-17Puro-5	
iPS_cells:PDB_1lox-17Puro-10	
iPS_cells:PDB_1lox-21Puro-20	
iPS_cells:PDB_1lox-21Puro-26	
iPS_cells:PDB_2lox-5	
iPS_cells:PDB_2lox-22	
iPS_cells:PDB_2lox-21	
iPS_cells:PDB_2lox-17	
iPS_cells:CRL2097_foreskin	
iPS_cells:CRL2097_foreskin-derived:d20_hepatic_diff	
iPS_cells:CRL2097_foreskin-derived:undiff.	
B_cell:CXCR4+_centroblast	CL:0000965
B_cell:CXCR4-_centrocyte	CL:0000966
Endothelial_cells:HUVEC:VEGF	CL:0002618
iPS_cells:fibroblasts	
iPS_cells:fibroblast-derived:Direct_del._reprog	
iPS_cells:fibroblast-derived:Retroviral_transf	
Endothelial_cells:lymphatic:KSHV	CL:0002138
Endothelial_cells:blood_vessel	CL:0000071
Monocyte:CD16-	CL:0000576
Monocyte:CD16+	CL:0000576
Tissue_stem_cells:BM_MSC:osteogenic	CL:0000134
Hepatocytes	CL:0000182
Neutrophil:uropathogenic_E._coli_UTI89	CL:0000775
Neutrophil:commensal_E._coli_MG1655	CL:0000775
MSC	CL:0000134
Neuroepithelial_cell:ESC-derived	CL:0002259
Astrocyte:Embryonic_stem_cell-derived	CL:0000127
Endothelial_cells:HUVEC:IL-1b	CL:0002618
HSC_CD34+	CL:0000037
CMP	CL:0000049
GMP	CL:0000557
B_cell:immature	CL:0000816
MEP	CL:0000050
Myelocyte	CL:0002193
Pre-B_cell_CD34-	CL:0000955
Pro-B_cell_CD34+	CL:0002048
Pro-Myelocyte	CL:0000836
Smooth_muscle_cells:umbilical_vein	CL:0002588
iPS_cells:foreskin_fibrobasts	
iPS_cells:iPS:minicircle-derived	
iPS_cells:adipose_stem_cells	
iPS_cells:adipose_stem_cell-derived:lentiviral	
iPS_cells:adipose_stem_cell-derived:minicircle-derived	
Fibroblasts:breast	CL:0002555
Monocyte:MCSF	CL:0000576
Monocyte:CXCL4	CL:0000576
Neurons:adrenal_medulla_cell_line	CL:0000540
Tissue_stem_cells:CD326-CD56+	CL:0000222
NK_cell:CD56hiCD62L+	CL:0000623
T_cell:Treg:Naive	CL:0002677
Neutrophil:LPS	CL:0000775
Neutrophil:GM-CSF_IFNg	CL:0000775
Monocyte:S._typhimurium_flagellin	CL:0000576
Neurons:Schwann_cell	CL:0002573
