Naive CD8 T cells	CL:0000900
Central memory CD8 T cells	CL:0000907
Effector memory CD8 T cells	CL:0000913
Terminal effector CD8 T cells	CL:0001062
MAIT cells	CL:0000940
Vd2 gd T cells	CL:0000798
Non-Vd2 gd T cells	CL:0000798
Follicular helper T cells	CL:0002038
T regulatory cells	CL:0000815
Th1 cells	CL:0000545
Th1/Th17 cells	CL:0000912
Th17 cells	CL:0000899
Th2 cells	CL:0000546
Naive CD4 T cells	CL:0000895
Progenitor cells	CL:0002043
Naive B cells	CL:0000788
Non-switched memory B cells	CL:0000970
Exhausted B cells	CL:0000236
Switched memory B cells	CL:0000972
Plasmablasts	CL:0000980
Classical monocytes	CL:0000860
Intermediate monocytes	CL:0002393
Non classical monocytes	CL:0000875
Natural killer cells	CL:0000623
Plasmacytoid dendritic cells	CL:0000784
Myeloid dendritic cells	CL:0000782
Low-density neutrophils	CL:0000096
Low-density basophils	CL:0000043
Terminal effector CD4 T cells	CL:0001044
